2024-10-11 15:00:46,656 - ERROR: Error occurred at 2024-10-11 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-13 15:00:46,709 - ERROR: Error occurred at 2024-10-13 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-13 15:14:37,372 - ERROR: Error occurred at 2024-10-13 15:14:37 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-13 15:26:48,759 - ERROR: Error occurred at 2024-10-13 15:26:48 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-13 15:27:03,843 - ERROR: Error occurred at 2024-10-13 15:27:03 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-13 15:32:54,990 - ERROR: Error occurred at 2024-10-13 15:32:54 - TCP IP: 10.68.110.230, Port: 2402, Run: 1, METERID: MET0383. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003feef9db000000003fd3126f3f800000315e010308670be8cc01cb01f35e36!
2024-10-13 15:34:41,862 - ERROR: Error occurred at 2024-10-13 15:34:41 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-13 15:43:07,136 - ERROR: Error occurred at 2024-10-13 15:43:07 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfffd!
2024-10-13 15:43:55,141 - ERROR: Error occurred at 2024-10-13 15:43:55 - TCP IP: 10.68.111.7, Port: 4003, Run: 3, METERID: MET0146. Error: TimeoutError: timed out
2024-10-13 15:44:27,323 - ERROR: Error occurred at 2024-10-13 15:44:27 - TCP IP: 10.68.111.7, Port: 4004, Run: 4, METERID: MET0146. Error: TimeoutError: timed out
2024-10-14 15:00:46,078 - ERROR: Error occurred at 2024-10-14 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-14 15:14:40,771 - ERROR: Error occurred at 2024-10-14 15:14:40 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-14 15:26:44,253 - ERROR: Error occurred at 2024-10-14 15:26:44 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-14 15:26:59,336 - ERROR: Error occurred at 2024-10-14 15:26:59 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-14 15:34:56,326 - ERROR: Error occurred at 2024-10-14 15:34:56 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-14 15:43:20,701 - ERROR: Error occurred at 2024-10-14 15:43:20 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-14 15:51:22,322 - ERROR: Error occurred at 2024-10-14 15:51:22 - TCP IP: 10.68.111.180, Port: 2402, Run: 1, METERID: MET0463. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-15 15:00:47,876 - ERROR: Error occurred at 2024-10-15 15:00:47 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-15 15:14:44,759 - ERROR: Error occurred at 2024-10-15 15:14:44 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-15 15:25:14,729 - ERROR: Error occurred at 2024-10-15 15:25:14 - TCP IP: 10.68.111.59, Port: 2402, Run: 1, METERID: MET0401. Error: TimeoutError: timed out
2024-10-15 15:26:49,789 - ERROR: Error occurred at 2024-10-15 15:26:49 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-15 15:27:04,884 - ERROR: Error occurred at 2024-10-15 15:27:04 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-15 15:29:49,631 - ERROR: Error occurred at 2024-10-15 15:29:49 - TCP IP: 10.68.110.121, Port: 2404, Run: 2, METERID: MET0762. Error: TimeoutError: timed out
2024-10-15 15:35:16,801 - ERROR: Error occurred at 2024-10-15 15:35:16 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: TimeoutError: timed out
2024-10-15 15:35:31,880 - ERROR: Error occurred at 2024-10-15 15:35:31 - TCP IP: 10.68.111.72, Port: 2404, Run: 2, METERID: MET0315. Error: TimeoutError: timed out
2024-10-15 15:41:59,126 - ERROR: Error occurred at 2024-10-15 15:41:59 - TCP IP: 10.72.191.104, Port: 2404, Run: 2, METERID: MET0636. Error: TimeoutError: timed out
2024-10-15 15:43:26,303 - ERROR: Error occurred at 2024-10-15 15:43:26 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-15 15:43:44,463 - ERROR: Error occurred at 2024-10-15 15:43:44 - TCP IP: 10.68.111.7, Port: 4001, Run: 1, METERID: MET0146. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-15 15:43:59,637 - ERROR: Error occurred at 2024-10-15 15:43:59 - TCP IP: 10.68.111.7, Port: 4003, Run: 3, METERID: MET0146. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-15 15:50:54,735 - ERROR: Error occurred at 2024-10-15 15:50:54 - TCP IP: 10.68.111.79, Port: 2404, Run: 2, METERID: MET0730. Error: TimeoutError: timed out
2024-10-16 15:00:45,220 - ERROR: Error occurred at 2024-10-16 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-16 15:14:43,217 - ERROR: Error occurred at 2024-10-16 15:14:43 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-16 15:26:46,445 - ERROR: Error occurred at 2024-10-16 15:26:46 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-16 15:27:01,523 - ERROR: Error occurred at 2024-10-16 15:27:01 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-16 15:35:00,262 - ERROR: Error occurred at 2024-10-16 15:35:00 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-16 15:43:23,248 - ERROR: Error occurred at 2024-10-16 15:43:23 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-17 15:00:45,515 - ERROR: Error occurred at 2024-10-17 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-17 15:14:50,708 - ERROR: Error occurred at 2024-10-17 15:14:50 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-17 15:26:56,626 - ERROR: Error occurred at 2024-10-17 15:26:56 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-17 15:27:11,698 - ERROR: Error occurred at 2024-10-17 15:27:11 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-17 15:35:05,137 - ERROR: Error occurred at 2024-10-17 15:35:05 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-17 15:43:29,594 - ERROR: Error occurred at 2024-10-17 15:43:29 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-17 15:44:02,774 - ERROR: Error occurred at 2024-10-17 15:44:02 - TCP IP: 10.68.111.7, Port: 4001, Run: 1, METERID: MET0146. Error: TimeoutError: timed out
2024-10-18 15:00:46,911 - ERROR: Error occurred at 2024-10-18 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-18 15:02:52,017 - ERROR: Error occurred at 2024-10-18 15:02:51 - TCP IP: 10.68.110.223, Port: 2404, Run: 2, METERID: MET0464. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-18 15:05:49,353 - ERROR: Error occurred at 2024-10-18 15:05:49 - TCP IP: 10.68.111.241, Port: 2402, Run: 1, METERID: MET0370. Error: TimeoutError: timed out
2024-10-18 15:14:21,819 - ERROR: Error occurred at 2024-10-18 15:14:21 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-18 15:26:23,503 - ERROR: Error occurred at 2024-10-18 15:26:23 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-18 15:26:38,595 - ERROR: Error occurred at 2024-10-18 15:26:38 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-18 15:34:32,220 - ERROR: Error occurred at 2024-10-18 15:34:32 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-18 15:42:54,688 - ERROR: Error occurred at 2024-10-18 15:42:54 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-19 15:00:46,617 - ERROR: Error occurred at 2024-10-19 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-19 15:02:20,112 - ERROR: Error occurred at 2024-10-19 15:02:20 - TCP IP: 10.68.110.223, Port: 2402, Run: 1, METERID: MET0464. Error: TimeoutError: timed out
2024-10-19 15:14:29,738 - ERROR: Error occurred at 2024-10-19 15:14:29 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-19 15:26:41,543 - ERROR: Error occurred at 2024-10-19 15:26:41 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-19 15:26:56,615 - ERROR: Error occurred at 2024-10-19 15:26:56 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-19 15:34:52,422 - ERROR: Error occurred at 2024-10-19 15:34:52 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-19 15:43:15,904 - ERROR: Error occurred at 2024-10-19 15:43:15 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdffff!
2024-10-20 15:00:45,096 - ERROR: Error occurred at 2024-10-20 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-20 15:12:07,571 - ERROR: Error occurred at 2024-10-20 15:12:07 - TCP IP: 10.68.110.179, Port: 2402, Run: 1, METERID: MET0140. Error: TimeoutError: timed out
2024-10-20 15:14:32,256 - ERROR: Error occurred at 2024-10-20 15:14:32 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-20 15:14:47,335 - ERROR: Error occurred at 2024-10-20 15:14:47 - TCP IP: 10.72.191.162, Port: 2402, Run: 1, METERID: MET0639. Error: TimeoutError: timed out
2024-10-20 15:26:25,597 - ERROR: Error occurred at 2024-10-20 15:26:25 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-20 15:26:40,686 - ERROR: Error occurred at 2024-10-20 15:26:40 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-20 15:34:35,199 - ERROR: Error occurred at 2024-10-20 15:34:35 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-20 15:42:59,019 - ERROR: Error occurred at 2024-10-20 15:42:58 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-20 15:43:41,348 - ERROR: Error occurred at 2024-10-20 15:43:41 - TCP IP: 10.68.111.7, Port: 4003, Run: 3, METERID: MET0146. Error: TimeoutError: timed out
2024-10-20 15:49:05,875 - ERROR: Error occurred at 2024-10-20 15:49:05 - TCP IP: 10.68.110.237, Port: 2402, Run: 1, METERID: MET0276. Error: TimeoutError: timed out
2024-10-21 15:00:45,215 - ERROR: Error occurred at 2024-10-21 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-21 15:14:46,510 - ERROR: Error occurred at 2024-10-21 15:14:46 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-21 15:26:49,129 - ERROR: Error occurred at 2024-10-21 15:26:49 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-21 15:27:04,209 - ERROR: Error occurred at 2024-10-21 15:27:04 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-21 15:34:28,136 - ERROR: Error occurred at 2024-10-21 15:34:28 - TCP IP: 10.68.110.247, Port: 2402, Run: 1, METERID: MET0643. Error: TimeoutError: timed out
2024-10-21 15:34:58,323 - ERROR: Error occurred at 2024-10-21 15:34:58 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-21 15:43:24,410 - ERROR: Error occurred at 2024-10-21 15:43:24 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-21 15:44:13,601 - ERROR: Error occurred at 2024-10-21 15:44:13 - TCP IP: 10.68.111.7, Port: 4001, Run: 1, METERID: MET0146. Error: TimeoutError: timed out
2024-10-22 15:00:19,029 - ERROR: Error occurred at 2024-10-22 15:00:18 - TCP IP: 10.68.110.215, Port: 2402, Run: 1, METERID: MET0388. Error: TimeoutError: timed out
2024-10-22 15:00:34,110 - ERROR: Error occurred at 2024-10-22 15:00:34 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-22 15:05:48,646 - ERROR: Error occurred at 2024-10-22 15:05:48 - TCP IP: 10.68.111.241, Port: 2402, Run: 1, METERID: MET0370. Error: TimeoutError: timed out
2024-10-22 15:14:25,291 - ERROR: Error occurred at 2024-10-22 15:14:25 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-22 15:23:19,169 - ERROR: Error occurred at 2024-10-22 15:23:19 - TCP IP: 10.72.191.238, Port: 4001, Run: 1, METERID: MET0550. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 03083f80000000010002874a!
2024-10-22 15:26:14,388 - ERROR: Error occurred at 2024-10-22 15:26:14 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-22 15:26:29,480 - ERROR: Error occurred at 2024-10-22 15:26:29 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-22 15:33:45,891 - ERROR: Error occurred at 2024-10-22 15:33:45 - TCP IP: 10.68.110.247, Port: 2402, Run: 1, METERID: MET0643. Error: TimeoutError: timed out
2024-10-22 15:34:25,055 - ERROR: Error occurred at 2024-10-22 15:34:25 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-22 15:42:51,125 - ERROR: Error occurred at 2024-10-22 15:42:51 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ffff!
2024-10-22 15:44:27,747 - ERROR: Error occurred at 2024-10-22 15:44:27 - TCP IP: 10.68.111.173, Port: 2402, Run: 1, METERID: MET0678. Error: TimeoutError: timed out
2024-10-22 15:47:21,506 - ERROR: Error occurred at 2024-10-22 15:47:21 - TCP IP: 10.68.111.126, Port: 2402, Run: 1, METERID: MET0391. Error: TimeoutError: timed out
2024-10-22 15:47:38,622 - ERROR: Error occurred at 2024-10-22 15:47:38 - TCP IP: 10.68.111.126, Port: 2404, Run: 2, METERID: MET0391. Error: TimeoutError: timed out
2024-10-22 15:47:55,884 - ERROR: Error occurred at 2024-10-22 15:47:55 - TCP IP: 10.68.111.201, Port: 2402, Run: 1, METERID: MET0302. Error: TimeoutError: timed out
2024-10-22 15:48:13,294 - ERROR: Error occurred at 2024-10-22 15:48:13 - TCP IP: 10.68.111.201, Port: 2404, Run: 2, METERID: MET0302. Error: TimeoutError: timed out
2024-10-23 15:00:45,628 - ERROR: Error occurred at 2024-10-23 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-23 15:14:40,555 - ERROR: Error occurred at 2024-10-23 15:14:40 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-23 15:22:48,070 - ERROR: Error occurred at 2024-10-23 15:22:47 - TCP IP: 10.68.110.19, Port: 2402, Run: 1, METERID: MET0297. Error: TimeoutError: timed out
2024-10-23 15:23:03,159 - ERROR: Error occurred at 2024-10-23 15:23:03 - TCP IP: 10.68.110.19, Port: 2404, Run: 2, METERID: MET0297. Error: TimeoutError: timed out
2024-10-23 15:26:25,164 - ERROR: Error occurred at 2024-10-23 15:26:25 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-23 15:26:40,255 - ERROR: Error occurred at 2024-10-23 15:26:40 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-23 15:34:39,923 - ERROR: Error occurred at 2024-10-23 15:34:39 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-23 15:43:04,648 - ERROR: Error occurred at 2024-10-23 15:43:04 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-23 15:44:12,683 - ERROR: Error occurred at 2024-10-23 15:44:12 - TCP IP: 10.68.111.7, Port: 4004, Run: 4, METERID: MET0146. Error: TimeoutError: timed out
2024-10-24 15:00:46,623 - ERROR: Error occurred at 2024-10-24 15:00:46 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-24 15:14:46,915 - ERROR: Error occurred at 2024-10-24 15:14:46 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-24 15:27:06,245 - ERROR: Error occurred at 2024-10-24 15:27:06 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-24 15:27:21,430 - ERROR: Error occurred at 2024-10-24 15:27:21 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-24 15:36:10,198 - ERROR: Error occurred at 2024-10-24 15:36:10 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-24 15:45:02,877 - ERROR: Error occurred at 2024-10-24 15:45:02 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-24 15:45:47,825 - ERROR: Error occurred at 2024-10-24 15:45:47 - TCP IP: 10.68.111.7, Port: 4003, Run: 3, METERID: MET0146. Error: TimeoutError: timed out
2024-10-25 15:00:45,123 - ERROR: Error occurred at 2024-10-25 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-25 15:14:46,825 - ERROR: Error occurred at 2024-10-25 15:14:46 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-25 15:26:21,435 - ERROR: Error occurred at 2024-10-25 15:26:21 - TCP IP: 10.68.110.106, Port: 2404, Run: 2, METERID: MET0309. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device d333333f800000abe4010308671bb9f204dc03209b86!
2024-10-25 15:26:36,505 - ERROR: Error occurred at 2024-10-25 15:26:36 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-25 15:26:51,577 - ERROR: Error occurred at 2024-10-25 15:26:51 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-25 15:34:54,283 - ERROR: Error occurred at 2024-10-25 15:34:54 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-25 15:43:26,123 - ERROR: Error occurred at 2024-10-25 15:43:26 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-25 15:44:51,797 - ERROR: Error occurred at 2024-10-25 15:44:51 - TCP IP: 10.68.111.7, Port: 4004, Run: 4, METERID: MET0146. Error: TimeoutError: timed out
2024-10-26 15:00:45,387 - ERROR: Error occurred at 2024-10-26 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
2024-10-26 15:02:50,895 - ERROR: Error occurred at 2024-10-26 15:02:50 - TCP IP: 10.68.110.223, Port: 2404, Run: 2, METERID: MET0464. Error: TimeoutError: timed out
2024-10-26 15:14:49,507 - ERROR: Error occurred at 2024-10-26 15:14:49 - TCP IP: 10.72.191.247, Port: 4002, Run: 2, METERID: MET0591. Error: TimeoutError: timed out
2024-10-26 15:24:47,010 - ERROR: Error occurred at 2024-10-26 15:24:46 - TCP IP: 10.68.111.205, Port: 2402, Run: 1, METERID: MET0385. Error: TimeoutError: timed out
2024-10-26 15:26:48,848 - ERROR: Error occurred at 2024-10-26 15:26:48 - TCP IP: 10.68.110.158, Port: 2402, Run: 1, METERID: MET0308. Error: TimeoutError: timed out
2024-10-26 15:27:03,940 - ERROR: Error occurred at 2024-10-26 15:27:03 - TCP IP: 10.68.110.158, Port: 2404, Run: 2, METERID: MET0308. Error: TimeoutError: timed out
2024-10-26 15:30:40,974 - ERROR: Error occurred at 2024-10-26 15:30:40 - TCP IP: 10.68.111.91, Port: 2404, Run: 2, METERID: MET0640. Error: TimeoutError: timed out
2024-10-26 15:35:08,669 - ERROR: Error occurred at 2024-10-26 15:35:08 - TCP IP: 10.68.111.72, Port: 2402, Run: 1, METERID: MET0315. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-26 15:43:31,461 - ERROR: Error occurred at 2024-10-26 15:43:31 - TCP IP: 10.68.110.77, Port: 2404, Run: 2, METERID: MET0760. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-26 15:44:38,989 - ERROR: Error occurred at 2024-10-26 15:44:38 - TCP IP: 10.68.111.7, Port: 4004, Run: 4, METERID: MET0146. Error: TimeoutError: timed out
2024-10-27 15:00:45,705 - ERROR: Error occurred at 2024-10-27 15:00:45 - TCP IP: 10.68.110.163, Port: 2404, Run: 2, METERID: MET0363. Error: TimeoutError: timed out
